filter,tp_pct,sl_pct,max_days,train_n,train_ev,train_tp_rate,train_sl_rate,train_sharpe,n,tp_rate,sl_rate,win_rate,ev,std,sharpe,total_ev,val_n,val_ev,val_tp_rate,val_sl_rate,generalize
⑫ 出来高1.5倍以上,7.0,-1.0,1,150888,-0.0378,1.85,57.32,-0.0235,150888,1.85,57.32,32.08,-0.0378,1.6105,-0.0235,-5710.5,20007,-0.0524,2.28,60.61,False
④ RSI5 < 25,2.0,-2.0,3,23523,-0.0379,36.6,39.22,-0.0211,23523,36.6,39.22,48.84,-0.0379,1.7917,-0.0211,-890.5,3148,0.0614,39.71,37.61,True
㉙ 低位株(〜500円),5.0,-5.0,2,173450,-0.0379,10.69,8.97,-0.014,173450,10.69,8.97,44.29,-0.0379,2.7144,-0.014,-6572.8,17816,-0.2706,14.65,16.14,False
⑧ DVS > 0（買い越し）,7.0,-2.0,1,960484,-0.0381,1.0,19.22,-0.0238,960484,1.0,19.22,44.3,-0.0381,1.5991,-0.0238,-36590.6,128150,-0.0722,1.4,23.48,False
④ RSI5 < 25,3.0,-2.0,1,23523,-0.0381,8.11,19.54,-0.0257,23523,8.11,19.54,45.63,-0.0381,1.4831,-0.0257,-896.8,3226,-0.0118,8.4,20.95,False
⑥ RSI5 < 15,2.0,-1.5,2,5431,-0.0382,27.77,43.33,-0.0255,5431,27.77,43.33,44.06,-0.0382,1.5011,-0.0255,-207.6,695,0.0506,31.08,42.45,True
㉕ RSI5<15 + DVS>0 + 月曜除外,2.0,-1.0,1,2195,-0.0382,14.94,45.47,-0.0341,2195,14.94,45.47,39.0,-0.0382,1.1187,-0.0341,-83.8,336,-0.0765,12.2,49.7,False
㉔ RSI5<20 + 月曜除外,2.0,-1.5,1,9742,-0.0382,16.85,30.19,-0.0297,9742,16.85,30.19,45.17,-0.0382,1.2825,-0.0297,-371.7,1353,-0.0103,18.11,30.52,False
⑮ 52週安値圏40%以内,2.0,-5.0,5,397726,-0.0383,51.83,14.63,-0.0147,397726,51.83,14.63,60.5,-0.0383,2.6116,-0.0147,-15231.8,28983,-0.2758,51.58,19.44,False
① 全シグナル（ベースライン）,3.0,-1.5,2,1050137,-0.0383,14.59,44.9,-0.023,1050137,14.59,44.9,40.54,-0.0383,1.6676,-0.023,-40206.4,138395,-0.0387,16.66,48.15,False
㊱ MA200割れ(-10%以下),3.0,-5.0,3,156276,-0.0383,33.18,14.05,-0.0134,156276,33.18,14.05,52.37,-0.0383,2.8578,-0.0134,-5991.9,13678,-0.3475,34.92,19.87,False
⑩ DVS > 20（強い買い越し）,7.0,-1.5,1,720307,-0.0383,0.94,30.28,-0.0254,720307,0.94,30.28,42.29,-0.0383,1.5059,-0.0254,-27583.4,94956,-0.0552,1.35,34.78,False
㉓ 水・木のみ,2.0,-1.0,2,428380,-0.0384,22.77,57.74,-0.0303,428380,22.77,57.74,36.12,-0.0384,1.268,-0.0303,-16445.0,56155,-0.0495,23.26,59.32,False
㉚ 中位株(500〜3000円),2.0,-2.0,5,723405,-0.0385,42.49,44.61,-0.0203,723405,42.49,44.61,48.92,-0.0385,1.8921,-0.0203,-27822.3,82276,-0.0405,43.41,45.64,False
㊸ 直近5日-3% + 月曜除外,3.0,-1.5,3,26510,-0.0385,26.5,61.35,-0.0194,26510,26.5,61.35,35.18,-0.0385,1.9861,-0.0194,-1021.4,5275,-0.0706,25.46,61.93,False
③ RSI5 < 30,1.5,-5.0,5,43169,-0.0385,62.72,14.02,-0.0161,43169,62.72,14.02,67.55,-0.0385,2.3865,-0.0161,-1663.1,5698,0.1366,67.46,12.85,True
㊳ 月初め(1〜3営業日),3.0,-1.5,3,155548,-0.0386,20.31,53.41,-0.021,155548,20.31,53.41,37.93,-0.0386,1.8347,-0.021,-6002.9,19116,0.2397,25.67,48.51,True
㉙ 低位株(〜500円),10.0,-1.0,1,173450,-0.0386,0.69,51.82,-0.0245,173450,0.69,51.82,31.59,-0.0386,1.573,-0.0245,-6690.2,17897,-0.0826,1.34,60.18,False
㉛ 高位株(3000円〜),7.0,-3.0,1,153282,-0.0386,0.69,7.66,-0.0236,153282,0.69,7.66,46.52,-0.0386,1.6311,-0.0236,-5909.1,37777,-0.0277,1.23,10.77,False
㉖ 直近5日-3%以下,7.0,-5.0,1,32717,-0.0386,2.99,5.7,-0.0158,32717,2.99,5.7,46.04,-0.0386,2.4468,-0.0158,-1263.9,6216,-0.0192,3.02,6.18,False
⑮ 52週安値圏40%以内,5.0,-3.0,1,397726,-0.0387,2.75,8.34,-0.0231,397726,2.75,8.34,44.84,-0.0387,1.6787,-0.0231,-15390.3,29598,-0.1912,3.58,12.54,False
㊴ 月末除外(最終2営業日を除く),5.0,-3.0,1,940499,-0.0388,2.57,8.34,-0.0233,940499,2.57,8.34,45.68,-0.0388,1.6606,-0.0233,-36447.4,125239,-0.1232,3.24,11.65,False
⑬ 出来高2倍以上,7.0,-3.0,3,70026,-0.0389,11.26,41.01,-0.0115,70026,11.26,41.01,40.23,-0.0389,3.3712,-0.0115,-2726.5,9073,-0.0253,13.8,46.3,False
㊶ 直近5日-5% + DVS>0,5.0,-5.0,1,7435,-0.0389,11.51,10.18,-0.0137,7435,11.51,10.18,46.48,-0.0389,2.8277,-0.0137,-288.9,1664,-0.0101,12.2,11.0,False
㉖ 直近5日-3%以下,10.0,-5.0,3,32717,-0.0389,5.9,23.83,-0.0093,32717,5.9,23.83,45.9,-0.0389,4.2014,-0.0093,-1273.6,6103,-0.0867,6.47,27.63,False
㉕ RSI5<15 + DVS>0 + 月曜除外,1.5,-3.0,2,2195,-0.039,44.19,18.18,-0.0225,2195,44.19,18.18,56.54,-0.039,1.7304,-0.0225,-85.5,329,0.1372,51.67,17.02,True
㊺ 直近5日-5% + DVS>0 + 月曜除外,5.0,-1.0,2,6080,-0.039,11.22,77.8,-0.0194,6080,11.22,77.8,20.87,-0.039,2.0139,-0.0194,-237.2,1380,-0.1298,10.36,79.93,False
㉛ 高位株(3000円〜),2.0,-1.5,5,153282,-0.0391,38.7,55.27,-0.0232,153282,38.7,55.27,42.32,-0.0391,1.682,-0.0232,-5992.5,37027,-0.0368,39.23,55.53,False
㊴ 月末除外(最終2営業日を除く),5.0,-2.0,1,940499,-0.0391,2.33,18.93,-0.0253,940499,2.33,18.93,44.44,-0.0391,1.5447,-0.0253,-36770.5,125239,-0.106,2.84,23.73,False
㉒ 月曜エントリー除外,5.0,-2.0,1,855864,-0.0392,2.3,19.18,-0.0253,855864,2.3,19.18,44.53,-0.0392,1.5488,-0.0253,-33591.7,113674,-0.0362,3.04,22.74,False
㉒ 月曜エントリー除外,5.0,-3.0,1,855864,-0.0392,2.55,8.46,-0.0235,855864,2.55,8.46,45.8,-0.0392,1.6658,-0.0235,-33569.0,113674,-0.0396,3.45,11.03,False
㉔ RSI5<20 + 月曜除外,1.5,-1.5,3,9742,-0.0393,42.7,45.61,-0.0275,9742,42.7,45.61,48.61,-0.0393,1.4265,-0.0275,-382.5,1330,0.0554,45.94,43.01,True
⑨ DVS > 10,7.0,-2.0,1,873764,-0.0394,1.0,19.28,-0.0246,873764,1.0,19.28,44.31,-0.0394,1.5993,-0.0246,-34433.1,117055,-0.0731,1.42,23.6,False
⑩ DVS > 20（強い買い越し）,3.0,-3.0,3,720307,-0.0394,24.79,25.94,-0.0171,720307,24.79,25.94,48.41,-0.0394,2.3118,-0.0171,-28412.1,94295,-0.0731,28.04,30.53,False
㊵ 月初め + DVS>0,3.0,-1.0,2,142489,-0.0394,12.49,60.77,-0.0274,142489,12.49,60.77,32.57,-0.0394,1.4371,-0.0274,-5620.6,17448,0.0749,14.63,58.38,True
⑨ DVS > 10,7.0,-3.0,1,873764,-0.0394,1.14,8.5,-0.0229,873764,1.14,8.5,45.57,-0.0394,1.7194,-0.0229,-34384.7,117055,-0.0858,1.68,11.56,False
㉖ 直近5日-3%以下,3.0,-1.0,5,32717,-0.0394,22.69,74.66,-0.0234,32717,22.69,74.66,24.91,-0.0394,1.6833,-0.0234,-1289.1,6014,-0.037,22.91,74.51,False
㉜ 水・木 + DVS>10,3.0,-2.0,1,357600,-0.0395,7.3,18.68,-0.0274,357600,7.3,18.68,45.62,-0.0395,1.4407,-0.0274,-14120.4,47237,-0.0729,8.4,22.41,False
⑮ 52週安値圏40%以内,5.0,-1.5,1,397726,-0.0395,2.27,29.66,-0.0271,397726,2.27,29.66,41.63,-0.0395,1.4582,-0.0271,-15724.9,29598,-0.1341,2.87,35.97,False
㉒ 月曜エントリー除外,2.0,-2.0,5,855864,-0.0395,42.73,44.81,-0.0208,855864,42.73,44.81,48.76,-0.0395,1.8958,-0.0208,-33781.4,111953,-0.0645,43.41,46.72,False
㊳ 月初め(1〜3営業日),3.0,-1.0,2,155548,-0.0395,12.5,60.72,-0.0275,155548,12.5,60.72,32.57,-0.0395,1.4367,-0.0275,-6149.9,19116,0.0798,14.72,58.33,True
⑧ DVS > 0（買い越し）,3.0,-1.5,2,960484,-0.0396,14.56,44.97,-0.0238,960484,14.56,44.97,40.53,-0.0396,1.6674,-0.0238,-38074.4,127556,-0.0386,16.67,48.19,False
㊳ 月初め(1〜3営業日),7.0,-2.0,2,155548,-0.0396,2.85,35.73,-0.0184,155548,2.85,35.73,41.94,-0.0396,2.1506,-0.0184,-6160.7,19116,0.1764,3.97,36.86,True
㊳ 月初め(1〜3営業日),5.0,-1.0,1,155548,-0.0396,1.73,47.15,-0.0307,155548,1.73,47.15,37.21,-0.0396,1.2879,-0.0307,-6153.6,19116,-0.0248,1.99,49.45,False
㉔ RSI5<20 + 月曜除外,1.5,-2.0,3,9742,-0.0397,47.24,36.18,-0.0246,9742,47.24,36.18,54.31,-0.0397,1.6145,-0.0246,-387.2,1330,0.0875,51.35,33.61,True
⑧ DVS > 0（買い越し）,3.0,-5.0,3,960484,-0.0397,26.31,10.18,-0.0153,960484,26.31,10.18,51.23,-0.0397,2.5898,-0.0153,-38150.4,127120,-0.0677,30.54,13.56,False
② RSI5 < 40（現行）,2.0,-1.0,2,101385,-0.0398,22.7,57.4,-0.0314,101385,22.7,57.4,36.04,-0.0398,1.265,-0.0314,-4030.7,14192,-0.0309,23.96,58.47,False
⑥ RSI5 < 15,2.0,-2.0,3,5431,-0.0399,36.46,39.46,-0.0223,5431,36.46,39.46,48.94,-0.0399,1.7926,-0.0223,-216.7,683,0.1707,41.73,35.58,True
③ RSI5 < 30,2.0,-1.5,3,43169,-0.0399,32.61,49.08,-0.0251,43169,32.61,49.08,43.28,-0.0399,1.5889,-0.0251,-1720.5,5817,0.0229,34.98,48.01,True
㉙ 低位株(〜500円),5.0,-2.0,3,173450,-0.04,11.75,46.16,-0.0166,173450,11.75,46.16,37.1,-0.04,2.4096,-0.0166,-6931.5,17746,-0.2013,13.83,55.75,False
㊵ 月初め + DVS>0,5.0,-1.0,1,142489,-0.04,1.72,47.14,-0.0311,142489,1.72,47.14,37.27,-0.04,1.2863,-0.0311,-5698.5,17448,-0.0276,1.94,49.5,False
㊷ 直近5日-5% + RSI5<20,5.0,-5.0,2,3526,-0.0401,18.24,17.41,-0.0119,3526,18.24,17.41,48.01,-0.0401,3.3748,-0.0119,-141.5,561,0.1895,19.79,16.4,True
⑭ 52週安値圏20%以内,2.0,-5.0,5,180210,-0.0401,53.22,15.63,-0.0151,180210,53.22,15.63,61.09,-0.0401,2.6579,-0.0151,-7218.3,13149,-0.3068,51.71,20.47,False
① 全シグナル（ベースライン）,5.0,-5.0,1,1050137,-0.0401,2.74,2.24,-0.0228,1050137,2.74,2.24,46.1,-0.0401,1.7594,-0.0228,-42138.4,139118,-0.1025,3.69,3.56,False
⑮ 52週安値圏40%以内,2.0,-3.0,5,397726,-0.0401,47.78,30.41,-0.0181,397726,47.78,30.41,55.57,-0.0401,2.2205,-0.0181,-15960.9,28983,-0.2613,45.95,36.86,False
⑭ 52週安値圏20%以内,3.0,-3.0,2,180210,-0.0401,19.09,19.68,-0.0191,180210,19.09,19.68,47.18,-0.0401,2.0992,-0.0191,-7218.0,13364,-0.2271,20.07,25.86,False
⑲ RSI5<15 + DVS>0,3.0,-5.0,2,2700,-0.0403,21.7,8.67,-0.0168,2700,21.7,8.67,50.7,-0.0403,2.399,-0.0168,-108.9,394,0.0973,25.38,11.68,True
㊲ MA200上方(+5%以上),5.0,-1.5,1,414127,-0.0403,2.55,33.6,-0.0263,414127,2.55,33.6,42.29,-0.0403,1.5318,-0.0263,-16710.0,87331,-0.0452,3.06,36.37,False
㊲ MA200上方(+5%以上),3.0,-1.5,2,414127,-0.0404,16.52,48.61,-0.0233,414127,16.52,48.61,39.9,-0.0404,1.733,-0.0233,-16743.3,86917,-0.0153,18.29,49.99,False
㉓ 水・木のみ,2.0,-5.0,1,428380,-0.0405,17.63,2.24,-0.0261,428380,17.63,2.24,49.01,-0.0405,1.5474,-0.0261,-17333.5,56157,-0.1259,19.5,3.49,False
⑪ ブレイクアウトあり,7.0,-2.0,2,246466,-0.0407,3.17,36.95,-0.0185,246466,3.17,36.95,41.69,-0.0407,2.195,-0.0185,-10019.6,33408,-0.0461,4.55,42.23,False
㉛ 高位株(3000円〜),3.0,-1.0,1,153282,-0.0408,5.42,46.06,-0.0346,153282,5.42,46.06,39.09,-0.0408,1.177,-0.0346,-6251.0,37777,-0.0425,7.39,50.09,False
㊹ 直近5日-5% + 水・木,7.0,-1.5,2,4781,-0.0408,7.45,67.85,-0.0157,4781,7.45,67.85,28.11,-0.0408,2.5996,-0.0157,-195.3,1017,-0.1998,7.28,71.19,False
① 全シグナル（ベースライン）,5.0,-1.5,1,1050137,-0.0409,2.09,29.72,-0.0283,1050137,2.09,29.72,42.43,-0.0409,1.4443,-0.0283,-42939.4,139118,-0.068,2.62,34.07,False
⑧ DVS > 0（買い越し）,5.0,-5.0,1,960484,-0.0409,2.75,2.25,-0.0232,960484,2.75,2.25,46.15,-0.0409,1.7598,-0.0232,-39299.1,128150,-0.1029,3.73,3.62,False
④ RSI5 < 25,3.0,-3.0,1,23523,-0.041,8.7,8.73,-0.0256,23523,8.7,8.73,47.02,-0.041,1.6026,-0.0256,-963.8,3226,0.0015,9.39,10.23,True
㉛ 高位株(3000円〜),2.0,-1.0,3,153282,-0.041,27.56,63.5,-0.0306,153282,27.56,63.5,33.98,-0.041,1.3397,-0.0306,-6290.3,37343,-0.0524,27.99,64.56,False
⑮ 52週安値圏40%以内,3.0,-1.5,2,397726,-0.0411,14.61,44.55,-0.0247,397726,14.61,44.55,40.06,-0.0411,1.6643,-0.0247,-16333.7,29410,-0.1449,15.61,50.49,False
㊲ MA200上方(+5%以上),5.0,-5.0,1,414127,-0.0412,3.46,3.05,-0.0216,414127,3.46,3.05,46.84,-0.0412,1.9113,-0.0216,-17061.3,87331,-0.074,4.41,4.37,False
④ RSI5 < 25,2.0,-3.0,3,23523,-0.0412,40.33,24.75,-0.02,23523,40.33,24.75,54.2,-0.0412,2.0657,-0.02,-969.5,3148,0.0852,44.12,24.36,True
㉚ 中位株(500〜3000円),3.0,-1.0,1,723405,-0.0412,5.4,44.8,-0.0354,723405,5.4,44.8,39.15,-0.0412,1.1662,-0.0354,-29833.0,83444,-0.0585,5.91,47.26,False
⑨ DVS > 10,3.0,-1.5,2,873764,-0.0413,14.55,45.06,-0.0248,873764,14.55,45.06,40.5,-0.0413,1.6675,-0.0248,-36087.2,116555,-0.0412,16.65,48.25,False
⑩ DVS > 20（強い買い越し）,7.0,-3.0,1,720307,-0.0413,1.2,8.77,-0.0238,720307,1.2,8.77,45.48,-0.0413,1.7382,-0.0238,-29770.3,94956,-0.0879,1.81,12.05,False
㊺ 直近5日-5% + DVS>0 + 月曜除外,5.0,-1.5,5,6080,-0.0413,19.98,74.8,-0.0157,6080,19.98,74.8,24.34,-0.0413,2.629,-0.0157,-250.8,1366,-0.2015,17.42,76.57,False
⑯ RSI5<20 + DVS>0,3.0,-2.0,1,6328,-0.0414,8.87,20.54,-0.0274,6328,8.87,20.54,45.45,-0.0414,1.5115,-0.0274,-262.3,894,-0.0233,10.07,23.15,False
㉛ 高位株(3000円〜),10.0,-5.0,1,153282,-0.0415,0.23,1.89,-0.0239,153282,0.23,1.89,46.83,-0.0415,1.7334,-0.0239,-6358.1,37777,-0.0253,0.44,2.82,False
㉛ 高位株(3000円〜),5.0,-3.0,1,153282,-0.0415,1.89,7.66,-0.0259,153282,1.89,7.66,46.58,-0.0415,1.5994,-0.0259,-6358.7,37777,-0.037,3.06,10.77,False
㉚ 中位株(500〜3000円),2.0,-1.5,5,723405,-0.0415,37.44,54.11,-0.025,723405,37.44,54.11,42.45,-0.0415,1.6637,-0.025,-30028.2,82276,-0.0331,38.25,54.39,False
③ RSI5 < 30,3.0,-1.5,1,43169,-0.0415,7.14,29.67,-0.0305,43169,7.14,29.67,43.22,-0.0415,1.3624,-0.0305,-1790.8,5954,-0.0265,7.17,31.09,False
㉚ 中位株(500〜3000円),2.0,-1.0,5,723405,-0.0416,29.76,65.77,-0.0303,723405,29.76,65.77,32.94,-0.0416,1.3696,-0.0303,-30068.8,82276,-0.0318,30.37,65.65,False
⑩ DVS > 20（強い買い越し）,7.0,-2.0,1,720307,-0.0418,1.06,19.68,-0.0259,720307,1.06,19.68,44.18,-0.0418,1.6143,-0.0259,-30128.5,94956,-0.074,1.53,24.17,False
㊹ 直近5日-5% + 水・木,10.0,-5.0,1,4781,-0.0419,2.13,9.16,-0.0143,4781,2.13,9.16,45.66,-0.0419,2.939,-0.0143,-200.4,1017,0.0905,3.83,8.46,True
㉚ 中位株(500〜3000円),3.0,-5.0,2,723405,-0.0419,17.59,5.87,-0.019,723405,17.59,5.87,49.94,-0.0419,2.2054,-0.019,-30275.3,83054,-0.0671,20.08,7.81,False
⑨ DVS > 10,3.0,-5.0,3,873764,-0.0419,26.31,10.2,-0.0162,873764,26.31,10.2,51.21,-0.0419,2.5912,-0.0162,-36626.2,116180,-0.0706,30.51,13.5,False
⑭ 52週安値圏20%以内,3.0,-5.0,1,180210,-0.0419,9.61,2.37,-0.0243,180210,9.61,2.37,45.92,-0.0419,1.7233,-0.0243,-7548.5,13463,-0.2248,10.07,3.48,False
⑯ RSI5<20 + DVS>0,2.0,-1.0,3,6328,-0.042,26.53,62.09,-0.0317,6328,26.53,62.09,34.29,-0.042,1.3242,-0.0317,-265.7,869,-0.0386,27.27,63.06,False
⑤ RSI5 < 20（超売られすぎ）,1.5,-5.0,5,12034,-0.042,63.26,14.77,-0.0174,12034,63.26,14.77,67.97,-0.042,2.4141,-0.0174,-505.7,1503,0.2538,70.26,11.64,True
㉖ 直近5日-3%以下,5.0,-3.0,1,32717,-0.042,5.96,16.84,-0.0194,32717,5.96,16.84,45.08,-0.042,2.167,-0.0194,-1374.6,6216,-0.0296,5.9,18.02,False
㉓ 水・木のみ,2.0,-1.5,2,428380,-0.042,27.04,43.05,-0.0281,428380,27.04,43.05,43.93,-0.042,1.4948,-0.0281,-18005.1,56155,-0.0692,27.73,45.86,False
⑧ DVS > 0（買い越し）,5.0,-1.5,1,960484,-0.042,2.09,29.75,-0.0291,960484,2.09,29.75,42.47,-0.042,1.4431,-0.0291,-40332.6,128150,-0.0674,2.64,34.07,False
㉑ スコア>=20 + RSI5<20,1.5,-5.0,5,12034,-0.042,63.26,14.77,-0.0174,12034,63.26,14.77,67.97,-0.042,2.4141,-0.0174,-505.7,1503,0.2538,70.26,11.64,True
⑬ 出来高2倍以上,5.0,-1.0,3,70026,-0.0421,10.1,75.16,-0.0216,70026,10.1,75.16,22.3,-0.0421,1.9511,-0.0216,-2947.7,9073,-0.0353,11.02,76.5,False
㉒ 月曜エントリー除外,2.0,-1.5,5,855864,-0.0422,37.59,54.23,-0.0253,855864,37.59,54.23,42.31,-0.0422,1.6656,-0.0253,-36107.1,111953,-0.057,37.97,55.39,False
㊵ 月初め + DVS>0,7.0,-3.0,3,142489,-0.0423,5.48,29.24,-0.0151,142489,5.48,29.24,44.1,-0.0423,2.8007,-0.0151,-6023.1,17448,0.5303,8.03,28.0,True
㉛ 高位株(3000円〜),2.0,-2.0,5,153282,-0.0423,43.93,46.13,-0.022,153282,43.93,46.13,48.82,-0.0423,1.9173,-0.022,-6479.6,37027,-0.037,44.99,46.97,False
⑨ DVS > 10,5.0,-5.0,1,873764,-0.0423,2.75,2.27,-0.024,873764,2.75,2.27,46.17,-0.0423,1.7606,-0.024,-36993.0,117055,-0.1035,3.78,3.66,False
⑯ RSI5<20 + DVS>0,3.0,-3.0,1,6328,-0.0425,9.59,9.62,-0.0259,6328,9.59,9.62,47.04,-0.0425,1.6426,-0.0259,-268.8,894,0.0084,11.63,11.74,True
㊶ 直近5日-5% + DVS>0,5.0,-1.0,3,7435,-0.0426,12.8,80.54,-0.0205,7435,12.8,80.54,18.82,-0.0426,2.085,-0.0205,-317.1,1628,-0.1021,11.98,81.33,False
㊶ 直近5日-5% + DVS>0,5.0,-3.0,1,7435,-0.0427,10.25,24.77,-0.0169,7435,10.25,24.77,43.93,-0.0427,2.5233,-0.0169,-317.4,1664,-0.0083,11.24,25.66,False
⑮ 52週安値圏40%以内,5.0,-2.0,1,397726,-0.0427,2.49,19.23,-0.0273,397726,2.49,19.23,43.51,-0.0427,1.5633,-0.0273,-16992.0,29598,-0.1583,3.21,24.96,False
㊱ MA200割れ(-10%以下),3.0,-1.5,2,156276,-0.0427,18.79,51.2,-0.0238,156276,18.79,51.2,38.17,-0.0427,1.7932,-0.0238,-6673.0,13744,-0.137,19.77,56.92,False
㉛ 高位株(3000円〜),3.0,-5.0,3,153282,-0.0428,26.94,10.26,-0.0164,153282,26.94,10.26,51.45,-0.0428,2.6126,-0.0164,-6565.2,37343,0.0302,33.15,13.33,True
② RSI5 < 40（現行）,3.0,-1.5,1,101385,-0.0428,6.93,29.16,-0.0316,101385,6.93,29.16,43.08,-0.0428,1.3518,-0.0316,-4335.6,14352,-0.0336,7.36,30.77,False
㉜ 水・木 + DVS>10,2.0,-1.0,2,357600,-0.0428,22.67,57.98,-0.0338,357600,22.67,57.98,35.98,-0.0428,1.267,-0.0338,-15322.9,47235,-0.0439,23.27,58.99,False
⑲ RSI5<15 + DVS>0,1.5,-3.0,5,2700,-0.0429,58.07,27.89,-0.0215,2700,58.07,27.89,62.3,-0.0429,1.9986,-0.0215,-115.8,384,0.2011,66.15,24.48,True
㊹ 直近5日-5% + 水・木,5.0,-1.5,5,4781,-0.0432,19.56,74.19,-0.0165,4781,19.56,74.19,24.62,-0.0432,2.6127,-0.0165,-206.5,1003,-0.2322,16.25,75.97,False
㉛ 高位株(3000円〜),3.0,-5.0,2,153282,-0.0432,18.67,6.14,-0.0192,153282,18.67,6.14,49.95,-0.0432,2.2519,-0.0192,-6628.8,37525,0.0025,24.38,8.6,True
⑯ RSI5<20 + DVS>0,3.0,-3.0,2,6328,-0.0432,19.2,20.45,-0.0205,6328,19.2,20.45,47.95,-0.0432,2.107,-0.0205,-273.3,880,0.1054,22.84,20.91,True
① 全シグナル（ベースライン）,3.0,-2.0,2,1050137,-0.0433,16.0,33.4,-0.0236,1050137,16.0,33.4,44.43,-0.0433,1.8333,-0.0236,-45454.9,138395,-0.0525,18.48,37.48,False
⑲ RSI5<15 + DVS>0,2.0,-1.0,5,2700,-0.0433,28.96,64.81,-0.0319,2700,28.96,64.81,33.07,-0.0433,1.3603,-0.0319,-117.0,384,0.0027,31.77,64.84,True
⑨ DVS > 10,5.0,-1.5,1,873764,-0.0433,2.08,29.8,-0.03,873764,2.08,29.8,42.48,-0.0433,1.4425,-0.03,-37834.1,117055,-0.0678,2.66,34.19,False
㉛ 高位株(3000円〜),7.0,-5.0,1,153282,-0.0433,0.73,1.89,-0.0253,153282,0.73,1.89,46.85,-0.0433,1.7112,-0.0253,-6644.5,37777,-0.0269,1.33,2.82,False
㉒ 月曜エントリー除外,2.0,-1.0,5,855864,-0.0434,29.77,65.87,-0.0317,855864,29.77,65.87,32.81,-0.0434,1.3696,-0.0317,-37132.2,111953,-0.0551,29.8,66.59,False
㉓ 水・木のみ,2.0,-3.0,2,428380,-0.0435,31.86,17.78,-0.0234,428380,31.86,17.78,51.73,-0.0435,1.8622,-0.0234,-18650.5,56155,-0.106,33.38,21.83,False
㊷ 直近5日-5% + RSI5<20,3.0,-1.0,2,3526,-0.0435,18.83,70.16,-0.0272,3526,18.83,70.16,27.37,-0.0435,1.6017,-0.0272,-153.4,561,0.0376,19.07,67.91,True
㉕ RSI5<15 + DVS>0 + 月曜除外,2.0,-5.0,2,2195,-0.0435,35.26,8.34,-0.0201,2195,35.26,8.34,55.08,-0.0435,2.1672,-0.0201,-95.5,329,0.0714,39.82,10.03,True
⑦ RSI5 < 10（極端売られすぎ）,2.0,-5.0,5,1909,-0.0435,53.54,16.76,-0.0161,1909,53.54,16.76,61.81,-0.0435,2.6958,-0.0161,-83.0,215,0.4849,62.79,10.7,True
⑪ ブレイクアウトあり,5.0,-2.0,3,246466,-0.0436,9.65,45.41,-0.0187,246466,9.65,45.41,39.99,-0.0436,2.3354,-0.0187,-10739.6,33301,-0.057,12.19,50.15,False
③ RSI5 < 30,3.0,-5.0,1,43169,-0.0436,8.65,2.38,-0.026,43169,8.65,2.38,47.27,-0.0436,1.6806,-0.026,-1883.6,5954,-0.0118,9.19,3.19,False
⑰ RSI5<20 + DVS>20,2.0,-1.0,5,1727,-0.0438,28.89,63.87,-0.0324,1727,28.89,63.87,32.89,-0.0438,1.3537,-0.0324,-75.6,239,0.0651,32.64,61.51,True
② RSI5 < 40（現行）,3.0,-5.0,3,101385,-0.0439,26.38,10.97,-0.0167,101385,26.38,10.97,51.83,-0.0439,2.6182,-0.0167,-4446.1,14065,0.0573,30.19,13.3,True
㊹ 直近5日-5% + 水・木,5.0,-1.0,2,4781,-0.0439,10.0,76.62,-0.0223,4781,10.0,76.62,21.79,-0.0439,1.967,-0.0223,-209.9,1017,-0.1116,8.95,77.48,False
㉑ スコア>=20 + RSI5<20,2.0,-1.0,1,12034,-0.044,14.58,46.02,-0.0395,12034,14.58,46.02,39.21,-0.044,1.1148,-0.0395,-529.6,1586,-0.0265,14.94,47.1,False
㉓ 水・木のみ,1.5,-3.0,5,428380,-0.044,58.01,27.51,-0.0221,428380,58.01,27.51,62.02,-0.044,1.9934,-0.0221,-18865.8,55659,-0.154,57.17,31.59,False
⑤ RSI5 < 20（超売られすぎ）,2.0,-1.0,1,12034,-0.044,14.58,46.02,-0.0395,12034,14.58,46.02,39.21,-0.044,1.1148,-0.0395,-529.6,1586,-0.0265,14.94,47.1,False
㉜ 水・木 + DVS>10,2.0,-5.0,1,357600,-0.0442,17.55,2.26,-0.0286,357600,17.55,2.26,48.99,-0.0442,1.547,-0.0286,-15796.0,47237,-0.1163,19.54,3.53,False
㉓ 水・木のみ,2.0,-2.0,2,428380,-0.0442,29.45,31.97,-0.0267,428380,29.45,31.97,48.08,-0.0442,1.655,-0.0267,-18930.0,56155,-0.0878,30.45,35.86,False
㉙ 低位株(〜500円),7.0,-5.0,1,173450,-0.0443,2.67,3.96,-0.0204,173450,2.67,3.96,41.34,-0.0443,2.1689,-0.0204,-7680.7,17897,-0.2369,4.69,8.21,False
① 全シグナル（ベースライン）,5.0,-3.0,1,1050137,-0.0443,2.55,8.43,-0.0266,1050137,2.55,8.43,45.58,-0.0443,1.6647,-0.0266,-46568.7,139118,-0.0999,3.32,11.44,False
㉒ 月曜エントリー除外,3.0,-1.0,1,855864,-0.0443,5.85,45.99,-0.0374,855864,5.85,45.99,38.19,-0.0443,1.1854,-0.0374,-37934.3,113674,-0.0444,6.89,48.99,False
㊹ 直近5日-5% + 水・木,5.0,-1.5,3,4781,-0.0444,16.36,70.91,-0.0177,4781,16.36,70.91,26.79,-0.0444,2.5037,-0.0177,-212.2,1017,-0.2188,13.96,73.65,False
