n,W平均,中央値,勝率,stdev,rule,period,per_day
2281,0.874,1.164,59.2,32.61,E7: 高ボラ+ギャップダウン (atr top10% & gap≤-2) × 売買代金≥10億,VAL,
1433,1.033,1.425,61.3,31.22,E7: 高ボラ+ギャップダウン (atr top10% & gap≤-2) × 売買代金≥30億,VAL,
653,0.684,0.932,58.3,15.85,E7: 高ボラ+ギャップダウン (atr top10% & gap≤-2) × 売買代金≥100億,VAL,
2139,0.794,0.964,58.6,32.94,E7: 高ボラ+ギャップダウン (atr top10% & gap≤-2) × 中型(500-3000円),VAL,
1260,0.575,0.859,56.5,11.47,E7: 高ボラ+ギャップダウン (atr top10% & gap≤-2) × 大型(≥3000円),VAL,
735,0.468,0.917,61.6,5.73,E9: 下ヒゲハンマー + ギャップダウン × 全件,VAL,
651,0.425,0.806,60.4,6.04,E9: 下ヒゲハンマー + ギャップダウン × 売買代金≥3億,VAL,
448,0.328,0.576,57.6,7.04,E9: 下ヒゲハンマー + ギャップダウン × 売買代金≥10億,VAL,
269,0.336,0.81,58.7,8.56,E9: 下ヒゲハンマー + ギャップダウン × 売買代金≥30億,VAL,
142,0.103,0.667,57.7,4.25,E9: 下ヒゲハンマー + ギャップダウン × 売買代金≥100億,VAL,
452,0.618,0.964,63.5,6.56,E9: 下ヒゲハンマー + ギャップダウン × 中型(500-3000円),VAL,
283,0.23,0.788,58.7,4.0,E9: 下ヒゲハンマー + ギャップダウン × 大型(≥3000円),VAL,
2896,0.34,0.029,50.4,3.67,E10: 反転前兆: 連騰0 & dayret<-3 & 下ヒゲ長 × 全件,VAL,
2523,0.332,0.029,50.5,3.79,E10: 反転前兆: 連騰0 & dayret<-3 & 下ヒゲ長 × 売買代金≥3億,VAL,
1721,0.245,0.012,50.2,3.99,E10: 反転前兆: 連騰0 & dayret<-3 & 下ヒゲ長 × 売買代金≥10億,VAL,
990,0.177,-0.001,50.0,4.47,E10: 反転前兆: 連騰0 & dayret<-3 & 下ヒゲ長 × 売買代金≥30億,VAL,
489,0.223,0.042,51.5,5.09,E10: 反転前兆: 連騰0 & dayret<-3 & 下ヒゲ長 × 売買代金≥100億,VAL,
2060,0.274,-0.038,49.1,3.82,E10: 反転前兆: 連騰0 & dayret<-3 & 下ヒゲ長 × 中型(500-3000円),VAL,
836,0.505,0.253,53.8,3.29,E10: 反転前兆: 連騰0 & dayret<-3 & 下ヒゲ長 × 大型(≥3000円),VAL,
