limit_pct,period,Date,equity
-0.7,TRAIN,2024-08-12,78.81803202892908
-0.7,TRAIN,2024-08-13,81.22189552210175
-0.7,TRAIN,2024-08-14,82.7202704995592
-0.7,TRAIN,2024-08-15,84.14371671874493
-0.7,TRAIN,2024-08-16,84.22657236943594
-0.7,TRAIN,2024-08-19,85.3187654856168
-0.7,TRAIN,2024-08-20,86.38907039915031
-0.7,TRAIN,2024-08-21,87.45981383189616
-0.7,TRAIN,2024-08-22,89.46675607337944
-0.7,TRAIN,2024-08-23,90.40271430683752
-0.7,TRAIN,2024-08-26,90.26891838607844
-0.7,TRAIN,2024-08-27,90.2477872661016
-0.7,TRAIN,2024-08-28,90.61116327106174
-0.7,TRAIN,2024-08-29,91.23368662285186
-0.7,TRAIN,2024-08-30,89.02375895851806
-0.7,TRAIN,2024-09-02,86.01014071978177
-0.7,TRAIN,2024-09-03,84.6387289956938
-0.7,TRAIN,2024-09-04,84.90133975527425
-0.7,TRAIN,2024-09-05,83.66869232162686
-0.7,TRAIN,2024-09-06,84.45952266675658
-0.7,TRAIN,2024-09-09,84.59336533506338
-0.7,TRAIN,2024-09-10,83.65311086795509
-0.7,TRAIN,2024-09-11,84.20541694534494
-0.7,TRAIN,2024-09-12,83.97906672627974
-0.7,TRAIN,2024-09-13,84.97271011797422
-0.7,TRAIN,2024-09-16,84.97271011797422
-0.7,TRAIN,2024-09-17,86.77540447983347
-0.7,TRAIN,2024-09-18,87.63408460104397
-0.7,TRAIN,2024-09-19,87.81593616271962
-0.7,TRAIN,2024-09-20,89.07178928781406
-0.7,TRAIN,2024-09-23,89.07178928781406
-0.7,TRAIN,2024-09-24,91.16593464856098
-0.7,TRAIN,2024-09-25,91.01449080334142
-0.7,TRAIN,2024-09-26,89.91418121024998
-0.7,TRAIN,2024-09-27,91.0886223535462
-0.7,TRAIN,2024-09-30,91.50189992164913
-0.7,TRAIN,2024-10-01,91.50189992164913
-0.7,TRAIN,2024-10-02,91.50189992164913
-0.7,TRAIN,2024-10-03,91.12674724422102
-0.7,TRAIN,2024-10-04,90.84292952700905
-0.7,TRAIN,2024-10-07,89.97594047107957
-0.7,TRAIN,2024-10-08,88.36250363020275
-0.7,TRAIN,2024-10-09,88.26281340110705
-0.7,TRAIN,2024-10-10,87.8780365288044
-0.7,TRAIN,2024-10-11,87.29940623958916
-0.7,TRAIN,2024-10-14,87.29940623958916
